,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
62,1003900011,-73.9798071076,40.7250267822,21,97000,1,0.736727597427,0.89114872848,1.01694833165,62.4,84.6988767869,67.4859292035,49.170764382,109.703392713,0.568806474047,36.2007642012,1.66129089612,45.0115260662,1.11091827303,62.4,0.652767035737,1.2762198123,1.06393330234
63,1006090047,-73.9975679024,40.7369764457,56,94144,102,1.47817780766,0.911597435585,0.231825490728,125.2,84.6988767869,67.4859292035,49.170764382,128.297561734,0.975856425545,52.3071600056,1.17612961578,44.8344532337,0.254247253176,125.2,1.2270171166,1.04386352568,0.243036371952
64,1004120053,-73.986814124,40.7217093855,11,209499,245,1.12398184736,0.635539889666,1.05732807285,95.2,84.6988767869,67.4859292035,49.170764382,132.081215659,0.720768653778,57.2255165854,0.74949083135,50.7583412635,1.02425785104,95.2,0.922375250567,0.692515360508,1.04079296195
65,1020530026,-73.9431023195,40.8252276147,115,84833,93,0.747353476236,0.527517371697,1.00956634913,63.3,84.6988767869,67.4859292035,49.170764382,123.245873703,0.513607458797,69.4482277635,0.512612073,38.3574384593,1.29417268397,63.3,0.630480467516,0.520064722348,1.15186951655
66,1004467502,-73.9885486459,40.7260545225,97,75782,67,0.81110874909,0.520256598885,0.0489617620627,68.7,84.6988767869,67.4859292035,49.170764382,113.756048675,0.6039239302,53.7275255535,0.653482542483,45.2306404605,0.0532269108197,68.7,0.707516339645,0.586869570684,0.0510943364412
67,1004520002,-73.9863181961,40.7299079168,88,121503,166,1.16884666899,0.880035300705,0.0645978839947,99.0,84.6988767869,67.4859292035,49.170764382,123.85397265,0.799328417827,63.3187410907,0.937952950058,47.6245487664,0.0666951691041,99.0,0.984087543411,0.908994125382,0.0656465265494
68,1004560007,-73.9918031417,40.7243942221,12,234610,215,1.83473507436,0.972795377863,1.99527888479,155.4,84.6988767869,67.4859292035,49.170764382,121.572404114,1.27825061232,45.7481187986,1.43503168489,47.7074735087,2.05647838179,155.4,1.55649284334,1.20391353137,2.02587863329
69,4161300001,-73.8080977783,40.5869430882,54,553520,458,1.09361462317,0.617886683742,1.57811753025,97.4,89.0624521073,50.5918007663,48.4111372627,20.5280685014,4.7447230602,79.5983968708,0.392721477177,81.6249355885,0.935969674251,97.4,2.91916884168,0.505304080459,1.25704360225
70,1009160055,-73.9766535639,40.7465395621,57,61839,104,0.982303463236,1.53617207651,0.0481617067031,83.2,84.6988767869,67.4859292035,49.170764382,134.055082837,0.620640398254,64.2577516094,1.61334620966,47.2066803916,0.0501655255758,83.2,0.801471930745,1.57475914308,0.0491636161394
71,1011397501,-73.9826369672,40.7752753377,32,64717,79,1.05078134889,0.499215175631,0.14844416002,89.0,84.6988767869,67.4859292035,49.170764382,140.418436474,0.633819904527,56.3685622452,0.597673572965,42.6370546538,0.171191769119,89.0,0.842300626711,0.548444374298,0.159817964569
